message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,action,message_type,reason,confidence,evidence_message_ids,hour_of_day,day_of_week,is_weekend,is_late_night,has_media,is_image,is_voice,is_forwarded,msg_char_len,msg_word_count,has_urgency_word,has_scam_word,has_financial_word,has_url,has_phone_number,has_mention,exclamation_count,question_mark_present,all_caps_ratio,has_prompt_injection_attempt,dnd_start_hr,dnd_end_hr,recv_reply_rate_30d,recv_dismiss_rate_30d,recv_report_rate_30d,avg_notifications_sent_per_day,avg_dismiss_rate,is_within_recv_dnd,verified,category,account_age_days,messages_sent_30d,user_reports_30d,biz_report_rate_30d,domain_mismatch,sender_domain_much_younger,official_domain_missing,hist_msg_count,hist_open_rate,hist_reply_rate,hist_dismiss_rate,hist_mute_rate,hist_report_rate,hist_avg_reaction_min,why_user_knows_account,allows_promotions,opted_out_of_promotions,activity_count_180d,rel_messages_opened_30d,rel_messages_dismissed_30d,rel_messages_replied_30d,never_replied,days_since_last_activity,rel_dismiss_rate_30d,rel_reply_rate_30d,has_prior_relationship,group_name,group_type,member_count,admin_count,group_age_days,messages_per_member_30d,admin_ratio,hist_group_msg_count,hist_group_open_rate,hist_group_reply_rate,hist_group_dismiss_rate,hist_group_report_rate,sender_is_group_admin,sender_group_tenure_days,sender_group_read_rate,sender_group_reply_rate,sender_has_muted_group,hist_sender_msg_count,hist_sender_open_rate,hist_sender_reply_rate,hist_sender_dismiss_rate,hist_sender_mute_rate,hist_sender_report_rate,sender_own_report_rate_30d
sample_msg_001,u_011,group,group_002,,u_043,2026-07-31 11:09:00,"Tower B folks, quick heads-up. The tanker guy is saying he can wait maybe 20 mins max because he has another stop after this. Motor room valve is still open, so if your flat missed morning supply, pls fill drinking water now. I know this is annoying, but better to store a little. Will update after 6 once plumber confirms.",,,0,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001,11.15,4,0,0,0,0,0,0,323,60,1,0,0,0,0,0,0,0,0.02390438247011952,0,21.5,6.5,0.30434782608695654,0.1956521739130435,0.010869565217391304,8.5,0.15226757369614513,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Green Acres Society Notices,society,184.0,4.0,924.0,4.032608695652174,0.021739130434782608,25.0,0.88,0.88,0.12,0.04,1.0,1012.0,1.0,0.2857142857142857,0.0,35.0,0.9428571428571428,0.8571428571428571,0.05714285714285714,0.05714285714285714,0.0,0.012048192771084338
sample_msg_002,u_006,group,group_003,,u_045,2026-07-31 14:16:00,"Route B parents, small change for today. Bus is leaving 15 mins early because stadium road is blocked and driver said he really cannot wait at each stop. Pls keep kids down by 7:35. If your child is absent, just reply once here so teacher can mark it.",,,0,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0002,14.266666666666667,4,0,0,0,0,0,0,251,48,0,1,0,0,0,0,0,0,0.026041666666666668,0,21.0,6.0,0.2875,0.4875,0.025,5.857142857142857,0.4554988662131519,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,International School Parents Group,school_group,96.0,3.0,484.0,4.354166666666667,0.03125,12.0,1.0,0.9166666666666666,0.0,0.0,1.0,607.0,1.6333333333333333,0.12244897959183673,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0
sample_msg_003,u_010,group,group_004,,u_046,2026-07-31 17:22:00,"@u_010 prod review got pulled to 3, sorry for the last-minute shuffle. Can you join with queue numbers and failed-payment screenshots? Need to close the client note before EOD and I don't want to send half context.",,,0,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0003,17.366666666666667,4,0,0,0,0,0,0,214,37,0,0,1,0,0,1,0,1,0.03636363636363636,0,22.5,7.5,0.1590909090909091,1.3409090909090908,0.0,7.785714285714286,0.38441558441558443,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Checkout Platform Co-workers,coworker,28.0,3.0,414.0,18.285714285714285,0.10714285714285714,13.0,1.0,0.9230769230769231,0.0,0.0,1.0,906.0,1.0,0.42857142857142855,0.0,22.0,1.0,0.9090909090909091,0.0,0.0,0.0,0.05
sample_msg_004,u_001,business,,business_001,,2026-07-31 08:28:00,"Hi Customer, Your order ending 4821 has been packed and is expected to reach the local hub today. You can check delivery details and delivery-code instructions in your Amazon app. Team Amazon",,,0,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004,8.466666666666667,4,0,0,0,0,0,0,191,32,0,0,0,0,0,0,0,0,0.046052631578947366,0,22.0,7.0,0.17777777777777778,0.3111111111111111,0.044444444444444446,4.357142857142857,0.2673469387755102,0,1.0,ecommerce_delivery,937.0,1243.0,3.0,0.002413515687851971,0.0,1.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,recent_grocery_delivery,0.0,0.0,3.0,5.0,1.0,0.0,1.0,13.0,0.2,0.0,1,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,
sample_msg_005,u_003,business,,business_004,,2026-07-31 11:35:00,"Dear Customer, Your health-related update is ready for review. Please check appointment, prescription, claim, or pickup details in the registered app before the scheduled time. Team Care Services",,,0,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005,11.583333333333334,4,0,0,0,0,0,0,195,28,0,1,0,0,0,0,0,0,0.043478260869565216,0,21.5,7.5,0.23728813559322035,0.4067796610169492,0.01694915254237288,5.642857142857143,0.30357142857142855,0,1.0,healthcare,1048.0,1372.0,6.0,0.004373177842565598,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,upcoming_clinic_appointment,0.0,0.0,2.0,6.0,1.0,1.0,0.0,13.0,0.16666666666666666,0.16666666666666666,1,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,
sample_msg_006,u_004,group,group_006,,u_054,2026-07-31 14:41:00,"@u_004 when you get 5 mins can you call? Nothing dramatic, just checking if Sunday pickup still works for you before I confirm cab count.",,,0,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0006,14.683333333333334,4,0,0,0,0,0,0,137,25,0,0,0,0,0,1,0,1,0.028846153846153848,0,0.0,6.5,0.25757575757575757,0.4393939393939394,0.045454545454545456,7.785714285714286,0.28535353535353536,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Friday Friends Circle,friends,77.0,1.0,682.0,2.909090909090909,0.012987012987012988,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,775.0,1.625,0.07692307692307693,0.0,35.0,1.0,0.08571428571428572,0.0,0.0,0.0,0.03125
sample_msg_007,u_012,business,,business_092,,2026-07-31 17:47:00,"When did a trip last change something about how you see yourself? Ladakh is built for that. 7 nights, all in, from Rs 17,999 per person. Tap below to view the itinerary. Reply STOP to unsubscribe from marketing messages.",,,0,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0007,17.783333333333335,4,0,0,0,0,0,0,220,39,0,0,0,0,0,0,0,1,0.05357142857142857,0,23.0,7.0,0.22413793103448276,0.29310344827586204,0.06896551724137931,7.5,0.16496598639455784,0,1.0,travel,4304.0,5156.0,4.0,0.0007757951900698216,1.0,1.0,0.0,12.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.0,105.25,travel_package_interest,1.0,0.0,5.0,6.0,1.0,1.0,0.0,13.0,0.16666666666666666,0.16666666666666666,1,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,
sample_msg_008,u_015,group,group_010,,u_043,2026-07-31 08:53:00,"Cultural night form is open till next Sunday. Add flat no and item or dish in the sheet whenever you get time. No need to reply done here, otherwise this group will become impossible to read.",,,0,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0008,8.883333333333333,4,0,0,0,0,0,0,191,36,0,0,0,0,0,0,0,0,0.02631578947368421,0,23.5,7.5,0.27848101265822783,0.4050632911392405,0.0,10.714285714285714,0.2108189429618001,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Maple Heights Residents,society,156.0,3.0,861.0,3.980769230769231,0.019230769230769232,5.0,1.0,0.4,0.0,0.0,1.0,970.0,1.0,0.2857142857142857,0.0,35.0,0.9428571428571428,0.8571428571428571,0.05714285714285714,0.05714285714285714,0.0,0.012048192771084338
sample_msg_009,u_035,group,group_009,,u_042,2026-07-31 11:58:00,"Good morning everyone. Group has been quiet, so just saying hope today is peaceful for all. No need to respond, just sending good vibes.",,,0,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0009,11.966666666666667,4,0,0,0,0,0,0,136,24,0,0,0,0,0,0,0,0,0.027777777777777776,0,23.5,7.5,0.2857142857142857,0.3076923076923077,0.0,9.714285714285714,0.19694749694749694,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Cousins and Family Chat,family,18.0,1.0,1082.0,4.888888888888889,0.05555555555555555,4.0,0.75,0.0,0.25,0.0,0.0,1302.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.05263157894736842
sample_msg_010,u_026,group,group_015,,u_054,2026-07-31 14:04:00,"Anyone watching the match tonight? I might start the score thread after dinner. No pressure at all, join only if you are already watching.",,,0,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0010,14.066666666666666,4,0,0,0,0,0,0,138,24,0,0,0,0,0,0,0,1,0.02702702702702703,0,21.0,6.0,0.29347826086956524,0.3804347826086957,0.021739130434782608,5.0,0.5095238095238095,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,Indiranagar Book Club,book_club,44.0,1.0,629.0,3.0,0.022727272727272728,4.0,1.0,0.0,0.0,0.0,0.0,667.0,1.625,0.07692307692307693,0.0,35.0,1.0,0.08571428571428572,0.0,0.0,0.0,0.03125
