message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,Verified banking update with urgent payment information; user has high engagement and no DND; important to notify.,0.95,message_0243;message_0102;message_0101;message_0242;message_0011
msg_091,mute,scam,"Message contains scam indicators, user has dismissed and reported similar messages, no prior relationship; mute to protect user.",0.92,message_0238;message_0381;message_0380;message_0218;message_0321
msg_090,notify,personal,Personal inquiry about package; user likely wants to respond; not urgent; notify.,0.85,message_0338;message_0339;message_0340;message_0365;message_0235
msg_048,mute,scam,"User has previously reported similar admin notices with high dismiss and mute rates; the message contains scam indicators (urgency, financial request, QR scan) and is likely a scam; muting protects the user.",0.92,message_0151;message_0152;message_0237;message_0150;message_0099
msg_040,mute,forward,"The message is a forwarded request to share blessings, has a high forwarded count, and the user has dismissed similar messages; it is likely spam/forward content, so muting is appropriate.",0.75,message_0136;message_0135;message_0259;message_0052;message_0158
msg_075,notify,business_update,"Verified ride‑booking business, user has a recent ride and has consistently opened and replied to such updates; the message contains important travel information, so it should be notified immediately.",0.95,message_0206;message_0205;message_0293;message_0295;message_0294
msg_005,notify,personal,"The user has previously opened and replied to similar marketplace pickup requests, indicating engagement. The message is not urgent but contains a personal request that may be important to the user. It is not forwarded, not spam, and the user is not in DND. Therefore, a direct notification is appropriate.",0.92,message_0401;message_0065;message_0049;message_0113;message_0332
msg_104,mute,personal,"The user has a high dismiss and mute history for similar messages from this sender, and the evidence summary shows multiple dismissals and mutes. The content is not urgent, so muting prevents unnecessary interruptions.",0.78,message_0232;message_0383;message_0224;message_0050;message_0335
msg_069,mute,forward,"The message is a highly forwarded generic positivity note, the sender has been muted by the user, and the user has a history of dismissing such messages. It is not urgent or personal, so muting is appropriate.",0.88,message_0193;message_0177;message_0194;message_0178;message_0042
msg_107,notify,urgent,Override rule: user opens banking alerts; OTP verification pending; action notify with confidence 1.,1.0,message_0235;message_0056;message_0369;message_0213;message_0195
msg_070,mute,scam,Scam content with OTP request; user in DND; mute to protect user.,0.95,message_0213;message_0195;message_0045;message_0023;message_0174
msg_003,digest,business_update,Routine delivery update from verified Amazon; low urgency; digest to avoid notification fatigue.,0.85,message_0400;message_0031;message_0061;message_0267;message_0062
msg_099,notify,personal,Work‑related note from a trusted colleague; user engages with sender and message is relevant but not urgent; outside DND window.,0.92,message_0227;message_0362;message_0228;message_0055;message_0249
msg_008,digest,promotion,Non‑urgent promotional review request from a verified business; user is in DND window and has high dismiss rate for similar messages.,0.86,message_0296;message_0072;message_0071;message_0297;message_0298
msg_092,notify,payment,"Financial statement from a verified credit‑card issuer; user not in DND, message is important and likely legitimate despite scam flag.",0.91,message_0346;message_0345;message_0344;message_0384;message_0385
msg_060,notify,urgent,Urgent deadline for internship approval forms; sent by group admin; user has engaged with group messages; message time outside DND; high importance.,0.92,message_0404;message_0284;message_0176;message_0175;message_0375
msg_004,notify,business_update,Verified healthcare business; prior relationship (upcoming clinic appointment); user engages with business messages; message informs about health update that may require timely action.,0.88,message_0245;message_0005;message_0064;message_0063;message_0246
msg_030,mute,promotion,Marketplace sale message with high forwarded count; user has high dismiss rate for similar messages; group has high report rate; repeated promotion likely not useful to user.,0.9,message_0115;message_0335;message_0050;message_0224;message_0116
msg_045,notify,urgent,Urgent delivery confirmation needed; user is a resident of the group and the message is time‑sensitive. The user has a history of engaging with group messages and there are no spam or scam signals.,0.96,message_0146;message_0145;message_0169;message_0059;message_0003
msg_052,mute,scam,"High scam indicators: financial request, domain mismatch, user has repeatedly dismissed and reported similar messages, business is unverified. The message is likely phishing; mute to protect the user.",0.93,message_0207;message_0159;message_0208;message_0160;message_0286
msg_009,digest,event,Casual group chat about cricket highlights; not urgent and user may prefer to view later. Digesting prevents unnecessary interruption while still delivering the content.,0.78,message_0074;message_0073;message_0185;message_0032;message_0261
msg_071,notify,personal,Personal family group chat about a meeting plan; no spam or scam indicators; user has historically engaged with similar messages in this group.,0.92,message_0198;message_0197;message_0274;message_0272;message_0033
msg_016,mute,scam,"Urgent, financial, scam-like content with a suspicious URL, high forwarded count, and the user has previously reported similar messages; likely phishing.",0.97,message_0024;message_0201;message_0183;message_0087;message_0202
msg_065,notify,promotion,Verified business promotion with a limited‑time offer; user has prior engagement and membership; not spam or scam; user likely wants to act on the offer.,0.88,message_0261;message_0185;message_0186;message_0260;message_0032
msg_038,mute,spam,"Chain message with high forwarded count (10) and no prior relationship with sender. User has historically dismissed and muted similar messages, and sender has high mute/dismiss rates. The content is typical of spam/chain messages.",0.95,message_0132;message_0131;message_0081;message_0082;message_0343
msg_086,notify,business_update,"Verified travel business with prior relationship (confirmed booking). User has opened and replied to similar messages, and the voice message is likely an important travel update. It arrives outside the user’s DND window and the user has engaged with this business before.",0.9,message_0222;message_0248;message_0227;message_0363;message_0055
msg_014,mute,promotion,"Promotional offer from a verified business, but the user has opted out of promotions and has a history of dismissing and muting such messages. The user has not engaged with this business recently, indicating low relevance.",0.9,message_0258;message_0018;message_0017;message_0083;message_0084
msg_094,digest,promotion,"Promotional offer from a verified business, not urgent, user has a history of dismissing similar messages; routing to digest reduces interruption.",0.92,message_0356;message_0220;message_0357;message_0048;message_0212
msg_029,digest,forward,"Forwarded sale advertisement in a marketplace group; routine content, user engages with group but message is not urgent, so digest is appropriate.",0.85,message_0401;message_0113;message_0332;message_0066;message_0049
msg_105,mute,forward,"Forwarded health tip containing potentially harmful advice; content is dangerous and user has shown mixed engagement, muting protects user from misinformation.",0.78,message_0373;message_0233;message_0372;message_0409;message_0393
msg_002,notify,urgent,Coworker admin requests an urgent call before a client meeting; the user is directly involved and likely to respond promptly.,0.95,message_0003;message_0169;message_0059;message_0041;message_0266
msg_010,digest,promotion,"Verified cinema is asking for feedback via a link; not urgent, typical marketing; user has prior relationship and has opened similar messages.",0.75,message_0242;message_0011;message_0075;message_0076;message_0102
msg_078,mute,scam,"High forwarded count, request for bank details, user has reported similar messages; strong indicators of phishing.",0.92,message_0212;message_0211;message_0203;message_0164;message_0223
msg_013,mute,promotion,The message is a promotional sale from a group member with no prior relationship to the user. The user has muted similar promotional messages before and has a high dismissal rate for such content. The message is not urgent and is likely unwanted spam.,0.88,message_0082;message_0081;message_0132;message_0343;message_0131
msg_018,mute,scam,"The message contains scam indicators (high forwarded count, scam word, reward claim). The user has reported similar messages and muted them previously. This is a typical reward scam, so it should be muted.",0.96,message_0092;message_0091;message_0026;message_0244;message_0102
msg_044,mute,scam,"The message is a phishing attempt with urgent language and scam indicators. The user has reported similar messages and muted them before. Despite the urgency tone, it is a scam and should be muted.",0.96,message_0144;message_0143;message_0036;message_0249;message_0117
msg_032,notify,personal,"The user is a student in the group and has historically opened and replied to similar requests for class materials. The message is not urgent but contains useful information that the user may want to act on. It is outside the user’s do‑not‑disturb window, so an immediate notification is appropriate.",0.92,message_0119;message_0285;message_0120;message_0374;message_0175
msg_106,notify,personal,"This is a personal message informing the user of a change in dance practice location, which is relevant to the user’s schedule. The user has previously engaged with similar messages and the content is important for attendance. The message is not urgent but the user is likely to want to see it promptly.",0.88,message_0376;message_0234;message_0377;message_0206;message_0293
msg_006,notify,business_update,"The message is a maintenance notice from the society admin, a role the user has historically interacted with. The user has high engagement with group notices and the content is important for society members. It is not urgent but should be seen promptly.",0.9,message_0044;message_0029;message_0097;message_0067;message_0098
msg_109,notify,urgent,Urgent admin notice about access‑card penalty payment due before 6 PM; user not in DND; high urgency and financial content; sender is trusted group admin.,0.97,message_0151;message_0152;message_0237;message_0100;message_0150
msg_108,mute,scam,"Suspicious business message with domain mismatch, high user reports, prior muted similar messages; likely scam despite urgency claim.",0.85,message_0094;message_0093;message_0236;message_0276;message_0275
msg_019,digest,business_update,Routine security update with no urgency; user tends to dismiss similar messages; not critical.,0.75,message_0094;message_0093;message_0236;message_0277;message_0276
