message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,message_opened,message_replied,reaction_time_minutes,notification_dismissed,muted_after_message,message_reported,not_opened
message_0107,u_008,business,,business_036,,2026-05-23 17:46:00,Delivery failed. Pay small reattempt fee at amazonpay-delivery.in and enter OTP to release package.,,,0,0,0,,1,1,1,1
message_0029,u_011,group,group_002,,u_043,2026-05-26 17:57:00,Admin reminder: maintenance only through app/office QR by 5 PM. Receipts reconciled after 7.,,,0,1,1,2.0,0,0,0,0
message_0231,u_032,personal,,,u_048,2026-06-08 07:08:00,"Hi, the kurta set is still available. I can keep it till evening if you want to pick it up.",,,0,1,1,2.0,0,0,0,0
message_0080,u_003,group,group_016,,u_051,2026-03-18 17:03:00,Good morning. Stay positive and send this to ten people you care about.,,,12,0,0,,1,1,0,1
message_0028,u_001,business,,business_036,,2026-05-16 12:52:00,"Delivery attempt could not be completed.

A reattempt charge is pending for your parcel. Please complete verification at amazonpay-delivery.in before the package is returned tonight.

Tap below to continue.

Reply STOP to opt out.",,,0,0,0,,1,1,1,1
message_0175,u_016,group,group_012,,u_045,2026-03-14 12:31:00,Route B bus is leaving 15 minutes early today because the main signal road is blocked.,,,0,1,1,2.0,0,0,0,0
message_0129,u_011,group,group_002,,u_043,2026-06-08 07:57:00,Tower B water pressure will be low from 5:30 to 7 PM because the plumber is changing the pump-room valve.,,,0,1,1,2.0,0,0,0,0
message_0253,u_005,group,group_021,,u_054,2026-06-24 12:17:00,"Long read for weekend: AI infra names are expensive, but earnings revision is still positive. Sharing the research PDF here, no buy call.",,,2,1,0,120.0,0,0,0,0
message_0166,u_037,group,group_008,,u_041,2026-05-01 12:39:00,Clinic timing may change. Keep your phone nearby in case I need to decide quickly.,,,0,1,1,2.0,0,0,0,0
message_0220,u_040,business,,business_002,,2026-03-23 12:03:00,"Hi, this is regarding an HDFC Bank personal loan offer. Your eligible interest rate has been revised, and you can request a callback if interested.",,,0,0,0,,1,1,0,1
message_0333,u_032,business,,business_011,,2026-07-11 07:17:00,"You just dropped something...

A limited shopping benefit is available on items you recently viewed.

Check the details in the app before the offer expires.

Reply STOP to unsubscribe",,,0,1,0,120.0,0,0,0,0
message_0213,u_009,group,group_005,,u_050,2026-07-02 07:17:00,"Wallet KYC incomplete. Open link and confirm card number, PIN and OTP to continue payments.",,,0,1,0,9.0,0,0,0,0
message_0223,u_040,group,group_022,,u_052,2026-04-22 12:17:00,New land parcel near the highway is available for early buyers. Token booking closes tonight; DM for location and launch price.,,,0,0,0,,1,1,0,1
message_0057,u_001,group,group_002,,u_043,2026-07-08 07:46:00,Tower B water pressure will be low from 5:30 to 7 PM because the plumber is changing the pump-room valve.,,,0,1,1,2.0,0,0,0,0
message_0393,u_014,personal,,,u_041,2026-03-16 07:17:00,,voice,vn_015,0,1,1,2.0,0,0,0,0
message_0218,u_028,group,group_004,,u_046,2026-04-05 17:52:00,"Checkout errors are spiking again. Please join the incident bridge now, payments are failing for live users.",,,0,1,1,2.0,0,0,0,0
message_0359,u_001,personal,,,u_041,2026-04-20 17:57:00,"Reached the clinic. Doctor is running late, so don't leave yet. I'll call when they give the next slot.",,,0,1,1,2.0,0,0,0,0
message_0003,u_010,group,group_004,,u_046,2026-03-31 07:17:00,@u_010 can you join 4 PM prod review? Need failed-payment count + retry backlog before client mail.,,,0,1,1,2.0,0,0,0,0
message_0219,u_029,group,group_004,,u_046,2026-04-15 07:57:00,"Can you check the onboarding doc tomorrow morning? Nothing urgent, just want your comments before lunch.",,,0,1,0,120.0,0,0,0,0
message_0392,u_021,group,group_022,,u_052,2026-03-06 17:12:00,,voice,vn_014,0,1,0,120.0,0,0,0,0
message_0321,u_028,business,,business_100,,2026-04-15 07:08:00,"Security profile update

Firewall profile has documented a port filtering adjustment, 442801.

Verify to continue.",,,0,0,0,,1,1,1,1
message_0317,u_027,business,,business_094,,2026-04-08 17:46:00,"New here? 50% Off Won't Wait!

Welcome! Get 50% off with TRY50.

But hurry, it might expire soon.

Ready to place your first order? Use it now!

T&C apply. Reply STOP to unsubscribe",,,0,0,0,,1,1,0,1
message_0232,u_033,personal,,,u_048,2026-06-18 12:12:00,"Hi, the kurta set is still available. I can keep it till evening if you want to pick it up.",,,0,0,0,,1,1,0,1
message_0407,u_005,business,,business_002,,2026-05-29 17:46:00,"Hi Customer,

Your latest account status has been updated.

Tap below to view the details securely in your banking app.

Team Banking Services",image,img_016,0,1,1,2.0,0,0,0,0
message_0274,u_012,group,group_007,,u_054,2026-03-17 12:24:00,I found two refundable stays in Leh. Sharing options here so we can decide over the weekend.,,,1,1,0,120.0,0,0,0,0
message_0206,u_019,business,,business_061,,2026-05-26 17:39:00,Grab ride update: pickup point changed because of road closure near the main gate. Check grab.com/activity.,,,0,1,1,2.0,0,0,0,0
